experiment,model,dataset,hparams,params,val_ndcg@10,val_hr@10,test_ndcg@10,test_hr@10,epochs,time_min
sasrec,sasrec,ml-100k,d=64 blk=2 heads=1,199296,0.046882,0.101803,0.039931,0.086957,2,0.06
sasrec,sasrec,ml-100k,d=64 blk=2 heads=1,199296,0.428498,0.700954,0.415932,0.683987,20,3.81
bert4rec,bert4rec,ml-100k,d=64 blk=2 heads=2,200710,0.408742,0.689290,0.383596,0.648993,34,6.77
mamba4rec,mamba4rec,ml-100k,d=64 blk=2 state=16 expand=2,166912,0.444980,0.721103,0.425415,0.691410,38,211.40
titan4rec,titan4rec,ml-100k,d=64 blk=2 seg=20 mem_d=2 mem_h=2 persist=4 exp=4,230222,1.000000,1.000000,1.000000,1.000000,12,55.80
titan4rec_memory_depth=1,titan4rec,ml-100k,d=64 blk=2 seg=20 mem_d=1 mem_h=2 persist=4 exp=4,215630,0.324988,0.559915,0.313093,0.542948,34,128.41
titan4rec_memory_depth=3,titan4rec,ml-100k,d=64 blk=2 seg=20 mem_d=3 mem_h=2 persist=4 exp=4,263246,1.000000,1.000000,1.000000,1.000000,12,58.92
titan4rec,titan4rec,ml-100k,d=64 blk=2 seg=20 mem_d=2 mem_h=2 persist=4 exp=4,230222,0.053435,0.109226,0.044906,0.100742,2,2.51
titan4rec,titan4rec,ml-100k,d=64 blk=2 seg=20 mem_d=2 mem_h=2 persist=4 exp=4,230222,0.053162,0.113468,0.045123,0.100742,2,2.63
titan4rec,titan4rec,ml-100k,d=64 blk=2 seg=20 mem_d=2 mem_h=2 persist=4 exp=4,230222,0.055756,0.117709,0.044374,0.100742,2,2.59
titan4rec,titan4rec,ml-100k,d=64 blk=2 seg=20 mem_d=2 mem_h=2 persist=4 exp=4,230222,0.058380,0.124072,0.043958,0.101803,2,2.81
titan4rec,titan4rec,ml-100k,d=64 blk=2 seg=20 mem_d=2 mem_h=2 persist=4 exp=4,230222,0.057789,0.125133,0.043991,0.100742,2,2.74
titan4rec_memory_depth=4,titan4rec,ml-100k,d=64 blk=2 seg=20 mem_d=4 mem_h=2 persist=4 exp=4,296270,1.000000,1.000000,1.000000,1.000000,12,74.15
sasrec,sasrec,ml-100k,d=64 blk=2 heads=1,199296,0.045424,0.096501,0.044256,0.091198,12,0.26
bert4rec,bert4rec,ml-100k,d=64 blk=2 heads=2,200710,0.058752,0.129374,0.065385,0.150583,36,0.51
mamba4rec,mamba4rec,ml-100k,d=64 blk=2 state=16 expand=2,166912,0.044361,0.094380,0.045272,0.091198,12,0.51
sasrec,sasrec,ml-100k,d=64 blk=2 heads=1,199296,0.045424,0.096501,0.044256,0.091198,12,0.19
bert4rec,bert4rec,ml-100k,d=64 blk=2 heads=2,200710,0.058752,0.129374,0.065385,0.150583,36,0.33
titan4rec_memory_depth=1,titan4rec,ml-100k,d=64 blk=2 seg=20 mem_d=1 mem_h=2 persist=4 exp=4,215758,0.042750,0.092259,0.033705,0.082715,12,0.87
mamba4rec,mamba4rec,ml-100k,d=64 blk=2 state=16 expand=2,166912,0.044361,0.094380,0.045272,0.091198,12,0.55
titan4rec_memory_depth=1,titan4rec,ml-100k,d=64 blk=2 seg=20 mem_d=1 mem_h=2 persist=4 exp=4,215758,0.042750,0.092259,0.033705,0.082715,12,1.01
sasrec,sasrec,ml-100k,d=64 blk=2 heads=1,199296,0.047237,0.102863,0.042631,0.097561,20,0.28
bert4rec,bert4rec,ml-100k,d=64 blk=2 heads=2,200710,0.058752,0.129374,0.065385,0.150583,36,0.28
mamba4rec,mamba4rec,ml-100k,d=64 blk=2 state=16 expand=2,166912,0.044361,0.094380,0.045272,0.091198,12,0.52
titan4rec,titan4rec,ml-100k,d=64 blk=2 seg=20 mem_d=2 mem_h=2 persist=4 exp=4,230350,0.090595,0.189820,0.070891,0.154825,52,5.67
sasrec,sasrec,ml-100k,d=64 blk=2 heads=1,199296,0.047237,0.102863,0.042631,0.097561,20,0.27
bert4rec,bert4rec,ml-100k,d=64 blk=2 heads=2,200710,0.058752,0.129374,0.065385,0.150583,36,0.28
mamba4rec,mamba4rec,ml-100k,d=64 blk=2 state=16 expand=2,166912,0.044361,0.094380,0.045272,0.091198,12,0.52
